"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","ausfall_grund"
51,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,8155,"1",Bus - Überland/Berg,10,Keine Daten
52,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,8078,"1",Bus - Überland/Berg,9,Status Unbekannt
53,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,7793,"1",Bus - Überland/Berg,4,Ausfall ganze Fahrt
54,VBZ, Stadt Zürich,Bus Zürich,7706,"1",Bus - Überland/Berg,18,Keine Daten
55,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,7432,"2",Bus - Agglomeration,33,Status Unbekannt Teilstrecke
56,BLT, BLT Baselland Transport AG,Bus Baselland,7199,"1",Bus - Überland/Berg,16,Ausfall ganze Fahrt
57,TPG, Transports publics genevois (TPG),Bus Genf,7041,"2",Bus - Agglomeration,18,Status Unbekannt
58,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,6824,"1",Bus - Überland/Berg,24,Keine Daten
59,FLP, Ferrovie Luganesi SA,Bahn Lugano,6689,"4",Bahn - Überland/Regionalverkehr,1,Status Unbekannt
60,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,6595,"4",Bahn - Überland/Regionalverkehr,93,Keine Daten
61,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,6572,"2",Bus - Agglomeration,11,Keine Daten Teilstrecke
62,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,6515,"1",Bus - Überland/Berg,21,Ausfall ganze Fahrt
63,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,6322,"1",Bus - Überland/Berg,24,Ausfall ganze Fahrt
64,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,6007,"3",Bahn - Überland/Berg,1,Status Unbekannt
65,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,5760,"2",Bus - Agglomeration,2,Keine Daten
66,TPC, Transports Publics du Chablais SA,Bus Chablais ,5676,"1",Bus - Überland/Berg,10,Keine Daten
67,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,5602,"2",Bus - Agglomeration,12,Keine Daten
68,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,5231,"3",Bahn - Überland/Berg,1,Status Unbekannt
69,BuS, Bus und Service AG,BuS AG,5080,"1",Bus - Überland/Berg,4,Keine Daten
70,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,4828,"1",Bus - Überland/Berg,21,Status Unbekannt Teilstrecke
71,PAG, PostAuto Schweiz AG,PostAuto,4610,"1",Bus - Überland/Berg,357,Status Unbekannt
72,BuS, Bus und Service AG,BuS AG,4448,"1",Bus - Überland/Berg,4,Ausfall ganze Fahrt
73,RA, REGIONALPS SA ,Regionalps,4382,"4",Bahn - Überland/Regionalverkehr,4,Keine Daten
74,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,4349,"1",Bus - Überland/Berg,8,Keine Daten
75,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,4246,"2",Bus - Agglomeration,4,Status Unbekannt
76,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,4245,"1",Bus - Überland/Berg,2,Keine Daten Teilstrecke
77,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,4172,"1",Bus - Überland/Berg,21,Ausfall ganze Fahrt
78,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,4135,"2",Bus - Agglomeration,22,Status Unbekannt Teilstrecke
79,VBZ, Stadt Zürich,Bus Zürich,4134,"1",Bus - Überland/Berg,18,Status Unbekannt Teilstrecke
80,THURBO, Thurbo AG,Thurbo,4111,"4",Bahn - Überland/Regionalverkehr,23,Ausfall ganze Fahrt
81,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,3900,"1",Bus - Überland/Berg,1,Keine Daten Teilstrecke
82,ARAG, Rottal Auto AG,Bus Rottal,3853,"1",Bus - Überland/Berg,8,Keine Daten
83,RA, REGIONALPS SA ,Regionalps,3814,"4",Bahn - Überland/Regionalverkehr,4,Status Unbekannt
84,VBSG, Stadt St. Gallen,Bus St.Gallen,3786,"2",Bus - Agglomeration,15,Ausfall ganze Fahrt
85,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,3769,"2",Bus - Agglomeration,3,Ausfall ganze Fahrt
86,TPC, Transports Publics du Chablais SA,Bus Chablais ,3663,"1",Bus - Überland/Berg,9,Status Unbekannt
87,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,3532,"3",Bahn - Überland/Berg,1,Ausfall ganze Fahrt
88,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,3527,"1",Bus - Überland/Berg,8,Ausfall ganze Fahrt
89,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,3501,"1",Bus - Überland/Berg,1,Status Unbekannt
90,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,3464,"1",Bus - Überland/Berg,9,Status Unbekannt
91,asm, Aare Seeland mobil AG,Bus Aare Seeland,3348,"1",Bus - Überland/Berg,15,Keine Daten
92,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,3249,"1",Bus - Überland/Berg,5,Keine Daten
93,AS, Autobetrieb Sernftal AG,Bus Sernftal,3248,"1",Bus - Überland/Berg,3,Keine Daten
94,BLT, BLT Baselland Transport AG,Bus Baselland,3194,"1",Bus - Überland/Berg,17,Status Unbekannt Teilstrecke
95,PAG, PostAuto Schweiz AG,PostAuto,3155,"1",Bus - Überland/Berg,67,Keine Daten Teilstrecke
96,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,3155,"2",Bus - Agglomeration,24,Ausfall ganze Fahrt
97,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,3029,"3",Bahn - Überland/Berg,2,Status Unbekannt
