"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","ausfall_grund"
217,VB, Verkehrsbetriebe Biel,Bus Biel,226,"1",Bus - Überland/Berg,7,Keine Daten Teilstrecke
218,BCS, Commune de Sion,Bus Sion,225,"1",Bus - Überland/Berg,4,Keine Daten
219,GWB, Grindelwald Bus AG,Grindelwald Bus,215,"1",Bus - Überland/Berg,3,Ausfall ganze Fahrt
220,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,206,"3",Bahn - Überland/Berg,2,Ausfall ganze Fahrt
221,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,196,"3",Bahn - Überland/Berg,5,Status Unbekannt Teilstrecke
222,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,193,"1",Bus - Überland/Berg,4,Keine Daten Teilstrecke
223,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,192,"4",Bahn - Überland/Regionalverkehr,11,Keine Daten
224,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,158,"3",Bahn - Überland/Berg,2,Keine Daten
225,BuS, Bus und Service AG,BuS AG,157,"1",Bus - Überland/Berg,2,Keine Daten Teilstrecke
226,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,155,"2",Bus - Agglomeration,6,Verspätung
227,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,147,"4",Bahn - Überland/Regionalverkehr,29,Status Unbekannt
228,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,145,"3",Bahn - Überland/Berg,2,Status Unbekannt Teilstrecke
229,THURBO, Thurbo AG,Thurbo,144,"4",Bahn - Überland/Regionalverkehr,19,Status Unbekannt Teilstrecke
230,SBW, Stadt Winterthur,Bus Winterthur,143,"1",Bus - Überland/Berg,2,Keine Daten Teilstrecke
231,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,138,"2",Bus - Agglomeration,5,Keine Daten Teilstrecke
232,THURBO, Thurbo AG,Thurbo,130,"4",Bahn - Überland/Regionalverkehr,21,Status Unbekannt
233,WAB, Wengernalpbahn AG,Wengernalpbahn,127,"3",Bahn - Überland/Berg,1,Ausfall ganze Fahrt
234,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,119,"2",Bus - Agglomeration,10,Verspätung
235,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,109,"1",Bus - Überland/Berg,7,Verspätung
236,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,96,"1",Bus - Überland/Berg,5,Verspätung
237,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,87,"1",Bus - Überland/Berg,4,Keine Daten Teilstrecke
238,zb, zb Zentralbahn AG,Zentralbahn,73,"3",Bahn - Überland/Berg,7,Status Unbekannt
239,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,72,"1",Bus - Überland/Berg,1,Verspätung
240,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,72,"2",Bus - Agglomeration,7,Keine Daten Teilstrecke
241,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,71,"2",Bus - Agglomeration,8,Keine Daten Teilstrecke
242,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,63,"1",Bus - Überland/Berg,5,Ausfall ganze Fahrt
243,WAB, Wengernalpbahn AG,Wengernalpbahn,58,"3",Bahn - Überland/Berg,1,Keine Daten
244,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,53,"4",Bahn - Überland/Regionalverkehr,12,Status Unbekannt
245,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,52,"2",Bus - Agglomeration,9,Verspätung
246,SOB, Schweizerische Südostbahn AG,Südostbahn,41,"4",Bahn - Überland/Regionalverkehr,7,Status Unbekannt Teilstrecke
247,WAB, Wengernalpbahn AG,Wengernalpbahn,40,"3",Bahn - Überland/Berg,1,Status Unbekannt Teilstrecke
248,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,38,"1",Bus - Überland/Berg,5,Verspätung
249,ARAG, Rottal Auto AG,Bus Rottal,38,"1",Bus - Überland/Berg,5,Verspätung
250,VMCV, VMCV SA,Bus Montreux,36,"1",Bus - Überland/Berg,3,Status Unbekannt
251,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,35,"1",Bus - Überland/Berg,2,Status Unbekannt
252,SOB, Schweizerische Südostbahn AG,Südostbahn,32,"4",Bahn - Überland/Regionalverkehr,7,Status Unbekannt
253,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,30,"4",Bahn - Überland/Regionalverkehr,2,Keine Daten Teilstrecke
254,BuS, Bus und Service AG,BuS AG,29,"1",Bus - Überland/Berg,3,Verspätung
255,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,28,"2",Bus - Agglomeration,2,Keine Daten Teilstrecke
256,BRER, O. Schneider AG,Bus Schneider,26,"1",Bus - Überland/Berg,3,Verspätung
257,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,26,"1",Bus - Überland/Berg,10,Status Unbekannt
258,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,26,"1",Bus - Überland/Berg,7,Verspätung
259,BCS, Commune de Sion,Bus Sion,23,"1",Bus - Überland/Berg,4,Ausfall ganze Fahrt
260,TPG, Transports publics genevois (TPG),Bus Genf,22,"2",Bus - Agglomeration,8,Verspätung
261,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,22,"1",Bus - Überland/Berg,5,Verspätung
262,VBZ, Stadt Zürich,Bus Zürich,21,"1",Bus - Überland/Berg,5,Verspätung
263,BLT, BLT Baselland Transport AG,Bus Baselland,19,"1",Bus - Überland/Berg,5,Verspätung
264,VBSH, Stadt Schaffhausen,Bus Schaffhausen,19,"1",Bus - Überland/Berg,5,Verspätung
265,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,18,"1",Bus - Überland/Berg,1,Status Unbekannt Teilstrecke
266,asm, Aare Seeland mobil AG,Bus Aare Seeland,18,"1",Bus - Überland/Berg,5,Verspätung
267,AAGR, Auto AG Rothenburg,Bus Rothenburg,17,"2",Bus - Agglomeration,4,Verspätung
268,AVA, Aargau Verkehr AG,Bus Aargau,17,"1",Bus - Überland/Berg,2,Keine Daten Teilstrecke
269,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,17,"1",Bus - Überland/Berg,3,Ausfall ganze Fahrt
270,zb, zb Zentralbahn AG,Zentralbahn,17,"3",Bahn - Überland/Berg,5,Status Unbekannt Teilstrecke
271,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,16,"1",Bus - Überland/Berg,4,Ausfall ganze Fahrt
272,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,16,"1",Bus - Überland/Berg,6,Ausfall ganze Fahrt
273,BLT, BLT Baselland Transport AG,Bus Baselland,16,"1",Bus - Überland/Berg,4,Status Unbekannt
274,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,16,"3",Bahn - Überland/Berg,1,Keine Daten Teilstrecke
275,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,14,"4",Bahn - Überland/Regionalverkehr,6,Status Unbekannt Teilstrecke
276,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,14,"1",Bus - Überland/Berg,1,Verspätung
277,VMCV, VMCV SA,Bus Montreux,13,"1",Bus - Überland/Berg,2,Keine Daten Teilstrecke
278,AAGU, AUTO AG URI,Bus Uri,12,"1",Bus - Überland/Berg,4,Verspätung
279,AWA, Ortsgemeinde Amden,Bus Amden,12,"1",Bus - Überland/Berg,1,Verspätung
280,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,12,"1",Bus - Überland/Berg,3,Keine Daten Teilstrecke
281,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,11,"2",Bus - Agglomeration,4,Verspätung
282,AAGR, Auto AG Rothenburg,Bus Rothenburg,10,"2",Bus - Agglomeration,2,Status Unbekannt
283,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,10,"2",Bus - Agglomeration,2,Keine Daten Teilstrecke
284,AAGS, Auto AG Schwyz,Bus Schwyz,9,"1",Bus - Überland/Berg,1,Status Unbekannt Teilstrecke
285,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,8,"1",Bus - Überland/Berg,2,Ausfall ganze Fahrt
286,BCS, Commune de Sion,Bus Sion,8,"1",Bus - Überland/Berg,3,Status Unbekannt
287,TSD, Theytaz Excursions SA,Theytaz,8,"1",Bus - Überland/Berg,1,Status Unbekannt Teilstrecke
288,AS, Autobetrieb Sernftal AG,Bus Sernftal,7,"1",Bus - Überland/Berg,1,Verspätung
289,TSD, Theytaz Excursions SA,Theytaz,7,"1",Bus - Überland/Berg,1,Keine Daten Teilstrecke
290,VB, Verkehrsbetriebe Biel,Bus Biel,7,"1",Bus - Überland/Berg,3,Verspätung
291,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,6,"3",Bahn - Überland/Berg,1,Status Unbekannt Teilstrecke
292,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,6,"1",Bus - Überland/Berg,2,Verspätung
293,TPC, Transports Publics du Chablais SA,Bus Chablais ,6,"1",Bus - Überland/Berg,1,Verspätung
294,BLAG, Busland AG,Busland,5,"1",Bus - Überland/Berg,4,Verspätung
295,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,5,"3",Bahn - Überland/Berg,2,Verspätung
296,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,5,"1",Bus - Überland/Berg,2,Verspätung
297,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,4,"1",Bus - Überland/Berg,2,Ausfall ganze Fahrt
298,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,4,"1",Bus - Überland/Berg,2,Keine Daten Teilstrecke
299,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,4,"2",Bus - Agglomeration,3,Verspätung
300,GWB, Grindelwald Bus AG,Grindelwald Bus,4,"1",Bus - Überland/Berg,2,Status Unbekannt
301,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,4,"3",Bahn - Überland/Berg,3,Verspätung
302,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,4,"3",Bahn - Überland/Berg,1,Keine Daten Teilstrecke
303,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,4,"4",Bahn - Überland/Regionalverkehr,3,Verspätung
304,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,4,"1",Bus - Überland/Berg,3,Verspätung
305,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,3,"2",Bus - Agglomeration,3,Status Unbekannt
306,FLP, Ferrovie Luganesi SA,Bahn Lugano,3,"4",Bahn - Überland/Regionalverkehr,1,Verspätung
307,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,3,"2",Bus - Agglomeration,2,Verspätung
308,TPF, Transports publics fribourgeois SA,Bus Fribourg,3,"1",Bus - Überland/Berg,3,Verspätung
309,AAGU, AUTO AG URI,Bus Uri,2,"1",Bus - Überland/Berg,2,Keine Daten Teilstrecke
310,BCS, Commune de Sion,Bus Sion,2,"1",Bus - Überland/Berg,2,Verspätung
311,GWB, Grindelwald Bus AG,Grindelwald Bus,2,"1",Bus - Überland/Berg,1,Verspätung
312,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,2,"4",Bahn - Überland/Regionalverkehr,2,Verspätung
313,SBW, Stadt Winterthur,Bus Winterthur,2,"1",Bus - Überland/Berg,1,Verspätung
314,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,2,"1",Bus - Überland/Berg,2,Verspätung
315,VMCV, VMCV SA,Bus Montreux,2,"1",Bus - Überland/Berg,2,Verspätung
316,AAGR, Auto AG Rothenburg,Bus Rothenburg,1,"2",Bus - Agglomeration,1,Keine Daten Teilstrecke
317,ABl, Autolinee Bleniesi SA,Bus Bleniesi,1,"1",Bus - Überland/Berg,1,Verspätung
318,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,1,"1",Bus - Überland/Berg,1,Verspätung
319,ARAG, Rottal Auto AG,Bus Rottal,1,"1",Bus - Überland/Berg,1,Keine Daten Teilstrecke
320,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,1,"1",Bus - Überland/Berg,1,Verspätung
321,AWA, Ortsgemeinde Amden,Bus Amden,1,"1",Bus - Überland/Berg,1,Keine Daten Teilstrecke
322,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,1,"2",Bus - Agglomeration,1,Verspätung
323,zb, zb Zentralbahn AG,Zentralbahn,1,"3",Bahn - Überland/Berg,1,Verspätung
