"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","tag"
55,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,5553,"2",Bus - Agglomeration,24,Mittwoch
56,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,5528,"1",Bus - Überland/Berg,10,Dienstag
57,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,5262,"2",Bus - Agglomeration,22,Dienstag
58,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,5258,"2",Bus - Agglomeration,24,Montag
59,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,5135,"1",Bus - Überland/Berg,10,Mittwoch
60,BLAG, Busland AG,Busland,5118,"1",Bus - Überland/Berg,20,Dienstag
61,TPF, Transports publics fribourgeois SA,Bus Fribourg,5090,"1",Bus - Überland/Berg,48,Sonntag
62,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,5086,"1",Bus - Überland/Berg,10,Donnerstag
63,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,5069,"1",Bus - Überland/Berg,10,Freitag
64,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,5050,"2",Bus - Agglomeration,22,Samstag
65,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,4970,"3",Bahn - Überland/Berg,9,Freitag
66,TPG, Transports publics genevois (TPG),Bus Genf,4879,"2",Bus - Agglomeration,18,Samstag
67,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,4872,"1",Bus - Überland/Berg,22,Dienstag
68,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,4855,"1",Bus - Überland/Berg,10,Montag
69,VBZ, Stadt Zürich,Bus Zürich,4843,"1",Bus - Überland/Berg,18,Donnerstag
70,TPF, Transports publics fribourgeois SA,Bus Fribourg,4816,"1",Bus - Überland/Berg,58,Montag
71,BOS, BUS Ostschweiz AG,BUS Ostschweiz,4812,"1",Bus - Überland/Berg,32,Sonntag
