"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","tag"
238,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,1632,"1",Bus - Überland/Berg,1,Samstag
239,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,1631,"1",Bus - Überland/Berg,7,Donnerstag
240,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,1610,"3",Bahn - Überland/Berg,1,Donnerstag
241,AAGR, Auto AG Rothenburg,Bus Rothenburg,1597,"2",Bus - Agglomeration,4,Montag
242,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,1593,"1",Bus - Überland/Berg,8,Samstag
243,TPF, Transports publics fribourgeois SA,Bus Fribourg,1588,"1",Bus - Überland/Berg,58,Donnerstag
244,RA, REGIONALPS SA ,Regionalps,1585,"4",Bahn - Überland/Regionalverkehr,4,Freitag
245,AAGS, Auto AG Schwyz,Bus Schwyz,1573,"1",Bus - Überland/Berg,9,Sonntag
246,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,1573,"1",Bus - Überland/Berg,8,Montag
247,asm, Aare Seeland mobil AG,Bus Aare Seeland,1569,"1",Bus - Überland/Berg,15,Dienstag
248,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,1563,"3",Bahn - Überland/Berg,1,Freitag
249,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,1562,"4",Bahn - Überland/Regionalverkehr,31,Dienstag
250,RA, REGIONALPS SA ,Regionalps,1557,"4",Bahn - Überland/Regionalverkehr,4,Montag
251,AAGR, Auto AG Rothenburg,Bus Rothenburg,1552,"2",Bus - Agglomeration,4,Freitag
252,AVA, Aargau Verkehr AG,Bus Aargau,1551,"1",Bus - Überland/Berg,12,Freitag
253,TPC, Transports Publics du Chablais SA,Bus Chablais ,1546,"1",Bus - Überland/Berg,10,Freitag
254,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,1542,"1",Bus - Überland/Berg,7,Freitag
255,TPC, Transports Publics du Chablais SA,Bus Chablais ,1535,"1",Bus - Überland/Berg,10,Mittwoch
256,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,1527,"2",Bus - Agglomeration,3,Samstag
257,RA, REGIONALPS SA ,Regionalps,1508,"4",Bahn - Überland/Regionalverkehr,4,Mittwoch
258,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,1493,"2",Bus - Agglomeration,13,Donnerstag
259,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,1487,"2",Bus - Agglomeration,9,Sonntag
260,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,1487,"1",Bus - Überland/Berg,21,Samstag
261,asm, Aare Seeland mobil AG,Bus Aare Seeland,1463,"1",Bus - Überland/Berg,15,Donnerstag
262,VBSG, Stadt St. Gallen,Bus St.Gallen,1461,"2",Bus - Agglomeration,12,Sonntag
263,BLAG, Busland AG,Busland,1451,"1",Bus - Überland/Berg,14,Sonntag
264,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,1438,"1",Bus - Überland/Berg,4,Dienstag
265,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,1432,"2",Bus - Agglomeration,12,Montag
266,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,1415,"4",Bahn - Überland/Regionalverkehr,31,Freitag
267,TPC, Transports Publics du Chablais SA,Bus Chablais ,1413,"1",Bus - Überland/Berg,10,Montag
268,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,1406,"1",Bus - Überland/Berg,6,Sonntag
269,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,1403,"1",Bus - Überland/Berg,22,Freitag
270,AVA, Aargau Verkehr AG,Bus Aargau,1368,"1",Bus - Überland/Berg,11,Mittwoch
271,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,1355,"3",Bahn - Überland/Berg,1,Mittwoch
272,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,1350,"1",Bus - Überland/Berg,3,Montag
273,TPC, Transports Publics du Chablais SA,Bus Chablais ,1338,"1",Bus - Überland/Berg,10,Samstag
274,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,1332,"1",Bus - Überland/Berg,4,Sonntag
275,AAGS, Auto AG Schwyz,Bus Schwyz,1324,"1",Bus - Überland/Berg,11,Montag
276,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,1318,"1",Bus - Überland/Berg,4,Donnerstag
277,TPC, Transports Publics du Chablais SA,Bus Chablais ,1314,"1",Bus - Überland/Berg,10,Sonntag
278,THURBO, Thurbo AG,Thurbo,1312,"4",Bahn - Überland/Regionalverkehr,22,Donnerstag
279,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,1302,"4",Bahn - Überland/Regionalverkehr,29,Mittwoch
280,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1290,"2",Bus - Agglomeration,2,Mittwoch
281,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,1286,"2",Bus - Agglomeration,3,Sonntag
282,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,1278,"1",Bus - Überland/Berg,3,Freitag
283,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,1267,"1",Bus - Überland/Berg,8,Freitag
284,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,1263,"3",Bahn - Überland/Berg,1,Samstag
285,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,1253,"1",Bus - Überland/Berg,4,Mittwoch
286,AAGS, Auto AG Schwyz,Bus Schwyz,1252,"1",Bus - Überland/Berg,11,Freitag
287,FLP, Ferrovie Luganesi SA,Bahn Lugano,1243,"4",Bahn - Überland/Regionalverkehr,1,Dienstag
288,AAGS, Auto AG Schwyz,Bus Schwyz,1241,"1",Bus - Überland/Berg,11,Mittwoch
289,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,1224,"2",Bus - Agglomeration,12,Dienstag
290,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,1222,"1",Bus - Überland/Berg,2,Mittwoch
291,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,1222,"2",Bus - Agglomeration,3,Donnerstag
292,FLP, Ferrovie Luganesi SA,Bahn Lugano,1213,"4",Bahn - Überland/Regionalverkehr,1,Donnerstag
293,FLP, Ferrovie Luganesi SA,Bahn Lugano,1203,"4",Bahn - Überland/Regionalverkehr,1,Montag
294,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,1194,"2",Bus - Agglomeration,12,Freitag
295,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,1188,"2",Bus - Agglomeration,3,Mittwoch
296,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,1172,"1",Bus - Überland/Berg,24,Samstag
297,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,1172,"1",Bus - Überland/Berg,9,Donnerstag
298,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,1165,"1",Bus - Überland/Berg,6,Samstag
299,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,1157,"3",Bahn - Überland/Berg,1,Donnerstag
300,FLP, Ferrovie Luganesi SA,Bahn Lugano,1155,"4",Bahn - Überland/Regionalverkehr,1,Freitag
301,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,1135,"1",Bus - Überland/Berg,8,Samstag
302,AVA, Aargau Verkehr AG,Bus Aargau,1127,"1",Bus - Überland/Berg,11,Samstag
303,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,1122,"1",Bus - Überland/Berg,1,Sonntag
304,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,1118,"1",Bus - Überland/Berg,7,Mittwoch
305,BuS, Bus und Service AG,BuS AG,1116,"1",Bus - Überland/Berg,4,Samstag
306,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,1090,"2",Bus - Agglomeration,11,Samstag
307,AAGS, Auto AG Schwyz,Bus Schwyz,1078,"1",Bus - Überland/Berg,10,Samstag
308,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1073,"2",Bus - Agglomeration,2,Montag
309,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,1057,"4",Bahn - Überland/Regionalverkehr,29,Montag
310,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,1038,"3",Bahn - Überland/Berg,1,Samstag
311,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,1017,"2",Bus - Agglomeration,3,Freitag
312,asm, Aare Seeland mobil AG,Bus Aare Seeland,1013,"1",Bus - Überland/Berg,15,Mittwoch
313,ARAG, Rottal Auto AG,Bus Rottal,1006,"1",Bus - Überland/Berg,8,Dienstag
314,ARAG, Rottal Auto AG,Bus Rottal,1006,"1",Bus - Überland/Berg,8,Donnerstag
315,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,998,"1",Bus - Überland/Berg,7,Sonntag
316,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,997,"1",Bus - Überland/Berg,8,Sonntag
317,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,990,"3",Bahn - Überland/Berg,1,Dienstag
318,THURBO, Thurbo AG,Thurbo,974,"4",Bahn - Überland/Regionalverkehr,23,Dienstag
319,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,947,"2",Bus - Agglomeration,13,Mittwoch
320,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,942,"1",Bus - Überland/Berg,1,Sonntag
321,RA, REGIONALPS SA ,Regionalps,936,"4",Bahn - Überland/Regionalverkehr,4,Samstag
322,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,929,"2",Bus - Agglomeration,3,Montag
323,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,918,"1",Bus - Überland/Berg,5,Donnerstag
324,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,916,"2",Bus - Agglomeration,12,Donnerstag
325,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,913,"3",Bahn - Überland/Berg,1,Sonntag
326,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,912,"1",Bus - Überland/Berg,6,Dienstag
327,AVA, Aargau Verkehr AG,Bus Aargau,910,"1",Bus - Überland/Berg,10,Sonntag
328,THURBO, Thurbo AG,Thurbo,909,"4",Bahn - Überland/Regionalverkehr,20,Sonntag
329,FLP, Ferrovie Luganesi SA,Bahn Lugano,906,"4",Bahn - Überland/Regionalverkehr,1,Sonntag
330,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,899,"1",Bus - Überland/Berg,1,Samstag
331,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,887,"2",Bus - Agglomeration,2,Samstag
332,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,881,"3",Bahn - Überland/Berg,1,Freitag
333,ARAG, Rottal Auto AG,Bus Rottal,866,"1",Bus - Überland/Berg,8,Montag
334,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,864,"2",Bus - Agglomeration,2,Freitag
335,ARAG, Rottal Auto AG,Bus Rottal,850,"1",Bus - Überland/Berg,8,Mittwoch
336,FLP, Ferrovie Luganesi SA,Bahn Lugano,849,"4",Bahn - Überland/Regionalverkehr,1,Mittwoch
337,RA, REGIONALPS SA ,Regionalps,839,"4",Bahn - Überland/Regionalverkehr,4,Sonntag
338,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,823,"1",Bus - Überland/Berg,1,Dienstag
339,AAGR, Auto AG Rothenburg,Bus Rothenburg,809,"2",Bus - Agglomeration,3,Sonntag
340,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,807,"3",Bahn - Überland/Berg,1,Montag
341,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,801,"3",Bahn - Überland/Berg,3,Dienstag
342,FLP, Ferrovie Luganesi SA,Bahn Lugano,795,"4",Bahn - Überland/Regionalverkehr,1,Samstag
343,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,775,"1",Bus - Überland/Berg,1,Donnerstag
344,AAGU, AUTO AG URI,Bus Uri,756,"1",Bus - Überland/Berg,9,Donnerstag
345,AAGU, AUTO AG URI,Bus Uri,751,"1",Bus - Überland/Berg,9,Montag
346,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,751,"3",Bahn - Überland/Berg,1,Mittwoch
347,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,750,"2",Bus - Agglomeration,2,Sonntag
348,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,747,"1",Bus - Überland/Berg,1,Freitag
349,VBSG, Stadt St. Gallen,Bus St.Gallen,734,"2",Bus - Agglomeration,14,Samstag
350,TPF, Transports publics fribourgeois SA,Bus Fribourg,728,"1",Bus - Überland/Berg,20,Freitag
351,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,722,"1",Bus - Überland/Berg,1,Mittwoch
352,SBW, Stadt Winterthur,Bus Winterthur,717,"1",Bus - Überland/Berg,4,Freitag
353,AAGU, AUTO AG URI,Bus Uri,713,"1",Bus - Überland/Berg,9,Dienstag
354,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,701,"2",Bus - Agglomeration,9,Sonntag
355,THURBO, Thurbo AG,Thurbo,691,"4",Bahn - Überland/Regionalverkehr,18,Samstag
356,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,683,"3",Bahn - Überland/Berg,3,Samstag
357,ARAG, Rottal Auto AG,Bus Rottal,678,"1",Bus - Überland/Berg,8,Freitag
358,BuS, Bus und Service AG,BuS AG,676,"1",Bus - Überland/Berg,4,Sonntag
359,SBW, Stadt Winterthur,Bus Winterthur,671,"1",Bus - Überland/Berg,4,Dienstag
360,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,670,"1",Bus - Überland/Berg,1,Montag
361,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,668,"3",Bahn - Überland/Berg,3,Donnerstag
362,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,666,"1",Bus - Überland/Berg,1,Freitag
363,asm, Aare Seeland mobil AG,Bus Aare Seeland,666,"1",Bus - Überland/Berg,15,Montag
364,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,665,"1",Bus - Überland/Berg,1,Mittwoch
365,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,651,"1",Bus - Überland/Berg,1,Montag
366,SBW, Stadt Winterthur,Bus Winterthur,646,"1",Bus - Überland/Berg,4,Donnerstag
367,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,642,"3",Bahn - Überland/Berg,3,Freitag
368,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,640,"3",Bahn - Überland/Berg,3,Montag
369,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,636,"3",Bahn - Überland/Berg,1,Sonntag
370,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,631,"1",Bus - Überland/Berg,1,Donnerstag
371,AS, Autobetrieb Sernftal AG,Bus Sernftal,627,"1",Bus - Überland/Berg,3,Freitag
372,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,621,"2",Bus - Agglomeration,12,Mittwoch
373,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,621,"1",Bus - Überland/Berg,3,Mittwoch
374,asm, Aare Seeland mobil AG,Bus Aare Seeland,611,"1",Bus - Überland/Berg,13,Sonntag
375,THURBO, Thurbo AG,Thurbo,609,"4",Bahn - Überland/Regionalverkehr,22,Montag
376,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,606,"1",Bus - Überland/Berg,1,Sonntag
377,AS, Autobetrieb Sernftal AG,Bus Sernftal,601,"1",Bus - Überland/Berg,3,Dienstag
378,AS, Autobetrieb Sernftal AG,Bus Sernftal,591,"1",Bus - Überland/Berg,3,Donnerstag
379,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,591,"1",Bus - Überland/Berg,1,Dienstag
380,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,589,"3",Bahn - Überland/Berg,3,Mittwoch
381,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,586,"3",Bahn - Überland/Berg,3,Sonntag
382,AAGU, AUTO AG URI,Bus Uri,570,"1",Bus - Überland/Berg,9,Mittwoch
383,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,569,"1",Bus - Überland/Berg,1,Samstag
384,THURBO, Thurbo AG,Thurbo,564,"4",Bahn - Überland/Regionalverkehr,20,Mittwoch
385,SBW, Stadt Winterthur,Bus Winterthur,561,"1",Bus - Überland/Berg,2,Sonntag
386,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,558,"1",Bus - Überland/Berg,8,Dienstag
387,asm, Aare Seeland mobil AG,Bus Aare Seeland,555,"1",Bus - Überland/Berg,13,Freitag
388,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,539,"1",Bus - Überland/Berg,5,Dienstag
389,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,529,"1",Bus - Überland/Berg,8,Donnerstag
390,AAGU, AUTO AG URI,Bus Uri,525,"1",Bus - Überland/Berg,5,Samstag
391,SBW, Stadt Winterthur,Bus Winterthur,525,"1",Bus - Überland/Berg,4,Montag
392,SBW, Stadt Winterthur,Bus Winterthur,523,"1",Bus - Überland/Berg,4,Mittwoch
393,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,518,"3",Bahn - Überland/Berg,2,Donnerstag
394,asm, Aare Seeland mobil AG,Bus Aare Seeland,518,"1",Bus - Überland/Berg,12,Samstag
395,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,509,"1",Bus - Überland/Berg,8,Dienstag
396,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,500,"1",Bus - Überland/Berg,5,Mittwoch
397,THURBO, Thurbo AG,Thurbo,494,"4",Bahn - Überland/Regionalverkehr,22,Freitag
398,GWB, Grindelwald Bus AG,Grindelwald Bus,486,"1",Bus - Überland/Berg,3,Montag
399,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,467,"3",Bahn - Überland/Berg,2,Mittwoch
400,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,455,"3",Bahn - Überland/Berg,2,Freitag
401,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,452,"3",Bahn - Überland/Berg,2,Dienstag
402,GWB, Grindelwald Bus AG,Grindelwald Bus,442,"1",Bus - Überland/Berg,3,Mittwoch
403,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,442,"1",Bus - Überland/Berg,7,Montag
404,GWB, Grindelwald Bus AG,Grindelwald Bus,439,"1",Bus - Überland/Berg,3,Dienstag
405,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,437,"4",Bus - Überland/Berg,2,Sonntag
406,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,429,"1",Bus - Überland/Berg,6,Mittwoch
407,AAGU, AUTO AG URI,Bus Uri,420,"1",Bus - Überland/Berg,6,Sonntag
408,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,418,"1",Bus - Überland/Berg,5,Freitag
409,AAGU, AUTO AG URI,Bus Uri,415,"1",Bus - Überland/Berg,9,Freitag
410,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,411,"2",Bus - Agglomeration,3,Dienstag
411,AS, Autobetrieb Sernftal AG,Bus Sernftal,410,"1",Bus - Überland/Berg,3,Sonntag
412,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,398,"3",Bahn - Überland/Berg,2,Samstag
413,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,396,"1",Bus - Überland/Berg,5,Montag
414,ARAG, Rottal Auto AG,Bus Rottal,395,"1",Bus - Überland/Berg,6,Samstag
415,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,395,"1",Bus - Überland/Berg,1,Sonntag
416,ARAG, Rottal Auto AG,Bus Rottal,394,"1",Bus - Überland/Berg,6,Sonntag
417,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,384,"1",Bus - Überland/Berg,1,Samstag
418,AS, Autobetrieb Sernftal AG,Bus Sernftal,380,"1",Bus - Überland/Berg,3,Montag
419,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,371,"1",Bus - Überland/Berg,6,Sonntag
420,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,371,"2",Bus - Agglomeration,2,Dienstag
421,AS, Autobetrieb Sernftal AG,Bus Sernftal,368,"1",Bus - Überland/Berg,3,Samstag
422,TSD, Theytaz Excursions SA,Theytaz,355,"1",Bus - Überland/Berg,2,Dienstag
423,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,345,"3",Bahn - Überland/Berg,2,Sonntag
424,SBW, Stadt Winterthur,Bus Winterthur,340,"1",Bus - Überland/Berg,2,Samstag
425,TSD, Theytaz Excursions SA,Theytaz,339,"1",Bus - Überland/Berg,2,Mittwoch
426,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,336,"3",Bahn - Überland/Berg,2,Montag
427,GWB, Grindelwald Bus AG,Grindelwald Bus,320,"1",Bus - Überland/Berg,3,Donnerstag
428,TSD, Theytaz Excursions SA,Theytaz,319,"1",Bus - Überland/Berg,2,Donnerstag
429,SOB, Schweizerische Südostbahn AG,Südostbahn,318,"4",Bahn - Überland/Regionalverkehr,5,Sonntag
430,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,317,"1",Bus - Überland/Berg,7,Donnerstag
431,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,316,"1",Bus - Überland/Berg,7,Dienstag
432,zb, zb Zentralbahn AG,Zentralbahn,313,"3",Bahn - Überland/Berg,8,Dienstag
433,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,312,"1",Bus - Überland/Berg,5,Sonntag
434,SOB, Schweizerische Südostbahn AG,Südostbahn,312,"4",Bahn - Überland/Regionalverkehr,7,Donnerstag
435,GWB, Grindelwald Bus AG,Grindelwald Bus,311,"1",Bus - Überland/Berg,3,Sonntag
436,GWB, Grindelwald Bus AG,Grindelwald Bus,305,"1",Bus - Überland/Berg,3,Freitag
437,WAB, Wengernalpbahn AG,Wengernalpbahn,305,"3",Bahn - Überland/Berg,1,Samstag
438,TSD, Theytaz Excursions SA,Theytaz,303,"1",Bus - Überland/Berg,2,Montag
439,GWB, Grindelwald Bus AG,Grindelwald Bus,302,"1",Bus - Überland/Berg,3,Samstag
440,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,298,"1",Bus - Überland/Berg,4,Mittwoch
441,TSD, Theytaz Excursions SA,Theytaz,297,"1",Bus - Überland/Berg,2,Freitag
442,SOB, Schweizerische Südostbahn AG,Südostbahn,296,"4",Bahn - Überland/Regionalverkehr,6,Samstag
443,SOB, Schweizerische Südostbahn AG,Südostbahn,287,"4",Bahn - Überland/Regionalverkehr,7,Dienstag
444,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,285,"1",Bus - Überland/Berg,6,Samstag
445,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,282,"3",Bahn - Überland/Berg,2,Montag
446,BRER, O. Schneider AG,Bus Schneider,282,"1",Bus - Überland/Berg,3,Donnerstag
447,AS, Autobetrieb Sernftal AG,Bus Sernftal,278,"1",Bus - Überland/Berg,3,Mittwoch
448,zb, zb Zentralbahn AG,Zentralbahn,273,"3",Bahn - Überland/Berg,8,Donnerstag
449,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,272,"4",Bahn - Überland/Regionalverkehr,12,Donnerstag
450,TSD, Theytaz Excursions SA,Theytaz,272,"1",Bus - Überland/Berg,2,Sonntag
451,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,270,"1",Bus - Überland/Berg,8,Mittwoch
452,ABl, Autolinee Bleniesi SA,Bus Bleniesi,248,"1",Bus - Überland/Berg,5,Sonntag
453,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,247,"1",Bus - Überland/Berg,8,Montag
454,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,242,"1",Bus - Überland/Berg,8,Montag
455,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,240,"2",Bus - Agglomeration,3,Sonntag
456,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,231,"1",Bus - Überland/Berg,8,Donnerstag
457,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,230,"2",Bus - Agglomeration,3,Donnerstag
458,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,228,"1",Bus - Überland/Berg,6,Dienstag
459,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,228,"2",Bus - Agglomeration,2,Freitag
460,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,227,"1",Bus - Überland/Berg,7,Freitag
461,SOB, Schweizerische Südostbahn AG,Südostbahn,221,"4",Bahn - Überland/Regionalverkehr,6,Montag
462,TSD, Theytaz Excursions SA,Theytaz,218,"1",Bus - Überland/Berg,2,Samstag
463,BRER, O. Schneider AG,Bus Schneider,213,"1",Bus - Überland/Berg,3,Dienstag
464,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,212,"1",Bus - Überland/Berg,7,Mittwoch
465,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,211,"1",Bus - Überland/Berg,8,Sonntag
466,WAB, Wengernalpbahn AG,Wengernalpbahn,207,"3",Bahn - Überland/Berg,1,Freitag
467,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,206,"1",Bus - Überland/Berg,8,Freitag
468,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,204,"1",Bus - Überland/Berg,5,Samstag
469,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,198,"1",Bus - Überland/Berg,6,Donnerstag
470,zb, zb Zentralbahn AG,Zentralbahn,198,"3",Bahn - Überland/Berg,6,Montag
471,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,196,"4",Bahn - Überland/Regionalverkehr,12,Dienstag
472,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,190,"1",Bus - Überland/Berg,5,Freitag
473,zb, zb Zentralbahn AG,Zentralbahn,190,"3",Bahn - Überland/Berg,6,Samstag
474,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,188,"2",Bus - Agglomeration,3,Freitag
475,SOB, Schweizerische Südostbahn AG,Südostbahn,181,"4",Bahn - Überland/Regionalverkehr,7,Mittwoch
476,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,180,"2",Bus - Agglomeration,2,Mittwoch
477,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,178,"2",Bus - Agglomeration,2,Donnerstag
478,BRER, O. Schneider AG,Bus Schneider,175,"1",Bus - Überland/Berg,3,Mittwoch
479,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,173,"3",Bahn - Überland/Berg,2,Samstag
480,ABl, Autolinee Bleniesi SA,Bus Bleniesi,169,"1",Bus - Überland/Berg,5,Montag
