"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","zeit"
354,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,226,"2",Bus - Agglomeration,6,"01:00 - 05:00"
355,ABl, Autolinee Bleniesi SA,Bus Bleniesi,218,"1",Bus - Überland/Berg,5,"09:00 - 13:00"
356,BCS, Commune de Sion,Bus Sion,208,"1",Bus - Überland/Berg,4,"09:00 - 13:00"
357,BCS, Commune de Sion,Bus Sion,207,"1",Bus - Überland/Berg,4,"13:00 - 17:00"
358,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,204,"3",Bahn - Überland/Berg,2,"09:00 - 13:00"
359,SOB, Schweizerische Südostbahn AG,Südostbahn,195,"4",Bahn - Überland/Regionalverkehr,5,"21:00 - 01:00"
360,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,193,"4",Bahn - Überland/Regionalverkehr,12,"13:00 - 17:00"
361,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,191,"4",Bus - Überland/Berg,2,"05:00 - 09:00"
362,ABl, Autolinee Bleniesi SA,Bus Bleniesi,184,"1",Bus - Überland/Berg,5,"05:00 - 09:00"
363,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,183,"4",Bahn - Überland/Regionalverkehr,11,"09:00 - 13:00"
364,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,178,"2",Bus - Agglomeration,3,"21:00 - 01:00"
365,ABl, Autolinee Bleniesi SA,Bus Bleniesi,175,"1",Bus - Überland/Berg,5,"13:00 - 17:00"
366,BRER, O. Schneider AG,Bus Schneider,173,"1",Bus - Überland/Berg,3,"13:00 - 17:00"
367,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,169,"3",Bahn - Überland/Berg,2,"05:00 - 09:00"
368,BRER, O. Schneider AG,Bus Schneider,168,"1",Bus - Überland/Berg,3,"09:00 - 13:00"
369,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,166,"4",Bus - Überland/Berg,2,"17:00 - 21:00"
370,WAB, Wengernalpbahn AG,Wengernalpbahn,165,"3",Bahn - Überland/Berg,1,"05:00 - 09:00"
371,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,159,"4",Bus - Überland/Berg,2,"21:00 - 01:00"
372,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,158,"4",Bahn - Überland/Regionalverkehr,11,"17:00 - 21:00"
373,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,155,"1",Bus - Überland/Berg,5,"01:00 - 05:00"
374,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,153,"3",Bahn - Überland/Berg,1,"01:00 - 05:00"
