"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","zeit"
193,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,1879,"1",Bus - Überland/Berg,4,"09:00 - 13:00"
194,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,1869,"2",Bus - Agglomeration,3,"09:00 - 13:00"
195,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1845,"2",Bus - Agglomeration,2,"17:00 - 21:00"
196,AVA, Aargau Verkehr AG,Bus Aargau,1837,"1",Bus - Überland/Berg,12,"13:00 - 17:00"
197,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,1810,"2",Bus - Agglomeration,10,"13:00 - 17:00"
198,AVA, Aargau Verkehr AG,Bus Aargau,1795,"1",Bus - Überland/Berg,11,"09:00 - 13:00"
199,BLT, BLT Baselland Transport AG,Bus Baselland,1765,"1",Bus - Überland/Berg,13,"21:00 - 01:00"
200,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,1750,"2",Bus - Agglomeration,3,"17:00 - 21:00"
201,FLP, Ferrovie Luganesi SA,Bahn Lugano,1732,"4",Bahn - Überland/Regionalverkehr,1,"09:00 - 13:00"
202,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,1686,"1",Bus - Überland/Berg,18,"21:00 - 01:00"
203,asm, Aare Seeland mobil AG,Bus Aare Seeland,1665,"1",Bus - Überland/Berg,15,"13:00 - 17:00"
204,BuS, Bus und Service AG,BuS AG,1659,"1",Bus - Überland/Berg,4,"05:00 - 09:00"
205,FLP, Ferrovie Luganesi SA,Bahn Lugano,1642,"4",Bahn - Überland/Regionalverkehr,1,"13:00 - 17:00"
206,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,1628,"1",Bus - Überland/Berg,5,"21:00 - 01:00"
207,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,1623,"2",Bus - Agglomeration,14,"21:00 - 01:00"
208,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,1620,"1",Bus - Überland/Berg,4,"21:00 - 01:00"
209,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,1609,"2",Bus - Agglomeration,10,"05:00 - 09:00"
210,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,1553,"1",Bus - Überland/Berg,2,"21:00 - 01:00"
211,asm, Aare Seeland mobil AG,Bus Aare Seeland,1546,"1",Bus - Überland/Berg,14,"09:00 - 13:00"
212,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1531,"2",Bus - Agglomeration,2,"13:00 - 17:00"
213,AAGR, Auto AG Rothenburg,Bus Rothenburg,1524,"2",Bus - Agglomeration,3,"21:00 - 01:00"
214,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1514,"2",Bus - Agglomeration,2,"09:00 - 13:00"
215,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,1511,"3",Bahn - Überland/Berg,1,"05:00 - 09:00"
216,FLP, Ferrovie Luganesi SA,Bahn Lugano,1492,"4",Bahn - Überland/Regionalverkehr,1,"05:00 - 09:00"
217,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,1462,"2",Bus - Agglomeration,9,"21:00 - 01:00"
218,FLP, Ferrovie Luganesi SA,Bahn Lugano,1461,"4",Bahn - Überland/Regionalverkehr,1,"17:00 - 21:00"
219,TPF, Transports publics fribourgeois SA,Bus Fribourg,1442,"1",Bus - Überland/Berg,25,"21:00 - 01:00"
220,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,1436,"2",Bus - Agglomeration,12,"17:00 - 21:00"
221,asm, Aare Seeland mobil AG,Bus Aare Seeland,1436,"1",Bus - Überland/Berg,15,"05:00 - 09:00"
222,THURBO, Thurbo AG,Thurbo,1414,"4",Bahn - Überland/Regionalverkehr,19,"21:00 - 01:00"
223,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,1394,"1",Bus - Überland/Berg,4,"05:00 - 09:00"
224,ARAG, Rottal Auto AG,Bus Rottal,1343,"1",Bus - Überland/Berg,8,"13:00 - 17:00"
225,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,1335,"3",Bahn - Überland/Berg,1,"09:00 - 13:00"
226,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,1302,"1",Bus - Überland/Berg,1,"17:00 - 21:00"
227,ARAG, Rottal Auto AG,Bus Rottal,1282,"1",Bus - Überland/Berg,5,"09:00 - 13:00"
228,TPG, Transports publics genevois (TPG),Bus Genf,1257,"2",Bus - Agglomeration,7,"01:00 - 05:00"
229,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,1241,"3",Bahn - Überland/Berg,1,"17:00 - 21:00"
230,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,1238,"3",Bahn - Überland/Berg,3,"17:00 - 21:00"
231,THURBO, Thurbo AG,Thurbo,1216,"4",Bahn - Überland/Regionalverkehr,22,"05:00 - 09:00"
232,ARAG, Rottal Auto AG,Bus Rottal,1208,"1",Bus - Überland/Berg,8,"05:00 - 09:00"
233,AAGS, Auto AG Schwyz,Bus Schwyz,1162,"1",Bus - Überland/Berg,9,"21:00 - 01:00"
234,asm, Aare Seeland mobil AG,Bus Aare Seeland,1160,"1",Bus - Überland/Berg,15,"17:00 - 21:00"
235,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,1151,"3",Bahn - Überland/Berg,1,"13:00 - 17:00"
236,VBSG, Stadt St. Gallen,Bus St.Gallen,1150,"2",Bus - Agglomeration,13,"21:00 - 01:00"
237,SBW, Stadt Winterthur,Bus Winterthur,1131,"1",Bus - Überland/Berg,4,"05:00 - 09:00"
238,AAGU, AUTO AG URI,Bus Uri,1116,"1",Bus - Überland/Berg,9,"09:00 - 13:00"
239,THURBO, Thurbo AG,Thurbo,1094,"4",Bahn - Überland/Regionalverkehr,23,"09:00 - 13:00"
240,SBW, Stadt Winterthur,Bus Winterthur,1071,"1",Bus - Überland/Berg,4,"17:00 - 21:00"
241,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,1068,"1",Bus - Überland/Berg,1,"09:00 - 13:00"
242,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,1035,"1",Bus - Überland/Berg,19,"21:00 - 01:00"
243,AAGU, AUTO AG URI,Bus Uri,1019,"1",Bus - Überland/Berg,9,"13:00 - 17:00"
244,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,983,"1",Bus - Überland/Berg,1,"13:00 - 17:00"
245,AAGU, AUTO AG URI,Bus Uri,970,"1",Bus - Überland/Berg,9,"05:00 - 09:00"
246,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,961,"1",Bus - Überland/Berg,1,"21:00 - 01:00"
247,FLP, Ferrovie Luganesi SA,Bahn Lugano,953,"4",Bahn - Überland/Regionalverkehr,1,"21:00 - 01:00"
248,THURBO, Thurbo AG,Thurbo,952,"4",Bahn - Überland/Regionalverkehr,23,"17:00 - 21:00"
249,ARAG, Rottal Auto AG,Bus Rottal,950,"1",Bus - Überland/Berg,8,"17:00 - 21:00"
250,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,949,"1",Bus - Überland/Berg,5,"09:00 - 13:00"
251,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,938,"3",Bahn - Überland/Berg,1,"21:00 - 01:00"
252,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,891,"1",Bus - Überland/Berg,1,"13:00 - 17:00"
253,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,888,"3",Bahn - Überland/Berg,3,"09:00 - 13:00"
254,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,888,"3",Bahn - Überland/Berg,3,"13:00 - 17:00"
255,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,880,"1",Bus - Überland/Berg,1,"17:00 - 21:00"
256,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,874,"1",Bus - Überland/Berg,5,"05:00 - 09:00"
257,BOS, BUS Ostschweiz AG,BUS Ostschweiz,865,"1",Bus - Überland/Berg,6,"01:00 - 05:00"
258,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,840,"1",Bus - Überland/Berg,1,"21:00 - 01:00"
259,AS, Autobetrieb Sernftal AG,Bus Sernftal,840,"1",Bus - Überland/Berg,3,"13:00 - 17:00"
260,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,837,"3",Bahn - Überland/Berg,5,"21:00 - 01:00"
261,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,829,"1",Bus - Überland/Berg,5,"13:00 - 17:00"
262,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,827,"3",Bahn - Überland/Berg,3,"05:00 - 09:00"
263,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,826,"2",Bus - Agglomeration,3,"21:00 - 01:00"
264,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,823,"3",Bahn - Überland/Berg,2,"09:00 - 13:00"
265,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,823,"3",Bahn - Überland/Berg,2,"13:00 - 17:00"
266,THURBO, Thurbo AG,Thurbo,820,"4",Bahn - Überland/Regionalverkehr,23,"13:00 - 17:00"
267,GWB, Grindelwald Bus AG,Grindelwald Bus,817,"1",Bus - Überland/Berg,3,"13:00 - 17:00"
268,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,808,"1",Bus - Überland/Berg,1,"09:00 - 13:00"
269,AS, Autobetrieb Sernftal AG,Bus Sernftal,800,"1",Bus - Überland/Berg,3,"09:00 - 13:00"
270,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,788,"1",Bus - Überland/Berg,1,"05:00 - 09:00"
271,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,772,"1",Bus - Überland/Berg,1,"05:00 - 09:00"
272,GWB, Grindelwald Bus AG,Grindelwald Bus,746,"1",Bus - Überland/Berg,3,"05:00 - 09:00"
273,GWB, Grindelwald Bus AG,Grindelwald Bus,746,"1",Bus - Überland/Berg,3,"09:00 - 13:00"
274,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,722,"1",Bus - Überland/Berg,5,"21:00 - 01:00"
275,SBW, Stadt Winterthur,Bus Winterthur,717,"1",Bus - Überland/Berg,4,"13:00 - 17:00"
276,BuS, Bus und Service AG,BuS AG,710,"1",Bus - Überland/Berg,2,"21:00 - 01:00"
277,TSD, Theytaz Excursions SA,Theytaz,703,"1",Bus - Überland/Berg,2,"09:00 - 13:00"
278,AS, Autobetrieb Sernftal AG,Bus Sernftal,696,"1",Bus - Überland/Berg,3,"05:00 - 09:00"
279,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,692,"1",Bus - Überland/Berg,8,"09:00 - 13:00"
280,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,686,"4",Bahn - Überland/Regionalverkehr,31,"01:00 - 05:00"
281,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,666,"1",Bus - Überland/Berg,8,"05:00 - 09:00"
282,SBW, Stadt Winterthur,Bus Winterthur,663,"1",Bus - Überland/Berg,2,"09:00 - 13:00"
