"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_halte"
212,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,765,"1",Bus - Überland/Berg,4,"14-21 Haltestellen"
213,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,763,"2",Bus - Agglomeration,2,"22-39 Haltestellen"
214,SOB, Schweizerische Südostbahn AG,Südostbahn,757,"4",Bahn - Überland/Regionalverkehr,6,"7-13 Haltestellen"
215,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,749,"2",Bus - Agglomeration,2,"14-21 Haltestellen"
216,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,734,"2",Bus - Agglomeration,3,"1-2 Haltestellen"
217,WAB, Wengernalpbahn AG,Wengernalpbahn,734,"3",Bahn - Überland/Berg,1,"3-6 Haltestellen"
218,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,722,"4",Bus - Überland/Berg,1,"3-6 Haltestellen"
219,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,720,"1",Bus - Überland/Berg,4,"14-21 Haltestellen"
220,SBW, Stadt Winterthur,Bus Winterthur,720,"1",Bus - Überland/Berg,1,"22-39 Haltestellen"
221,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,719,"1",Bus - Überland/Berg,5,"22-39 Haltestellen"
222,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,684,"1",Bus - Überland/Berg,5,"14-21 Haltestellen"
223,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,682,"1",Bus - Überland/Berg,1,"14-21 Haltestellen"
224,SBW, Stadt Winterthur,Bus Winterthur,678,"1",Bus - Überland/Berg,4,"1-2 Haltestellen"
225,AS, Autobetrieb Sernftal AG,Bus Sernftal,669,"1",Bus - Überland/Berg,1,"3-6 Haltestellen"
226,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,663,"3",Bahn - Überland/Berg,1,"7-13 Haltestellen"
227,AAGS, Auto AG Schwyz,Bus Schwyz,644,"1",Bus - Überland/Berg,5,"1-2 Haltestellen"
228,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,641,"3",Bahn - Überland/Berg,1,"3-6 Haltestellen"
229,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,641,"2",Bus - Agglomeration,21,"1-2 Haltestellen"
230,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,639,"1",Bus - Überland/Berg,2,"3-6 Haltestellen"
231,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,633,"1",Bus - Überland/Berg,5,"40+ Haltestellen"
232,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,583,"1",Bus - Überland/Berg,2,"22-39 Haltestellen"
233,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,567,"1",Bus - Überland/Berg,1,"22-39 Haltestellen"
234,ARAG, Rottal Auto AG,Bus Rottal,549,"1",Bus - Überland/Berg,8,"3-6 Haltestellen"
235,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,535,"1",Bus - Überland/Berg,3,"7-13 Haltestellen"
236,AAGU, AUTO AG URI,Bus Uri,528,"1",Bus - Überland/Berg,1,"40+ Haltestellen"
237,BRER, O. Schneider AG,Bus Schneider,521,"1",Bus - Überland/Berg,2,"22-39 Haltestellen"
238,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,515,"2",Bus - Agglomeration,3,"14-21 Haltestellen"
239,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,506,"2",Bus - Agglomeration,5,"3-6 Haltestellen"
240,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,506,"3",Bahn - Überland/Berg,1,"3-6 Haltestellen"
241,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,491,"2",Bus - Agglomeration,3,"3-6 Haltestellen"
242,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,485,"3",Bahn - Überland/Berg,1,"7-13 Haltestellen"
243,BuS, Bus und Service AG,BuS AG,485,"1",Bus - Überland/Berg,4,"1-2 Haltestellen"
244,GWB, Grindelwald Bus AG,Grindelwald Bus,479,"1",Bus - Überland/Berg,3,"22-39 Haltestellen"
245,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,472,"1",Bus - Überland/Berg,1,"14-21 Haltestellen"
246,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,467,"1",Bus - Überland/Berg,6,"7-13 Haltestellen"
247,SBW, Stadt Winterthur,Bus Winterthur,461,"1",Bus - Überland/Berg,4,"3-6 Haltestellen"
248,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,451,"3",Bahn - Überland/Berg,2,"3-6 Haltestellen"
249,VB, Verkehrsbetriebe Biel,Bus Biel,451,"1",Bus - Überland/Berg,7,"3-6 Haltestellen"
250,VB, Verkehrsbetriebe Biel,Bus Biel,443,"1",Bus - Überland/Berg,3,"1-2 Haltestellen"
251,SOB, Schweizerische Südostbahn AG,Südostbahn,436,"4",Bahn - Überland/Regionalverkehr,3,"14-21 Haltestellen"
252,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,427,"1",Bus - Überland/Berg,1,"3-6 Haltestellen"
253,AVA, Aargau Verkehr AG,Bus Aargau,420,"1",Bus - Überland/Berg,7,"3-6 Haltestellen"
254,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,415,"1",Bus - Überland/Berg,4,"7-13 Haltestellen"
255,zb, zb Zentralbahn AG,Zentralbahn,413,"3",Bahn - Überland/Berg,7,"7-13 Haltestellen"
256,ABl, Autolinee Bleniesi SA,Bus Bleniesi,412,"1",Bus - Überland/Berg,4,"7-13 Haltestellen"
257,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,412,"2",Bus - Agglomeration,1,"40+ Haltestellen"
258,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,412,"4",Bahn - Überland/Regionalverkehr,11,"7-13 Haltestellen"
259,VBSG, Stadt St. Gallen,Bus St.Gallen,401,"2",Bus - Agglomeration,2,"1-2 Haltestellen"
260,GWB, Grindelwald Bus AG,Grindelwald Bus,399,"1",Bus - Überland/Berg,3,"7-13 Haltestellen"
261,GWB, Grindelwald Bus AG,Grindelwald Bus,397,"1",Bus - Überland/Berg,3,"3-6 Haltestellen"
262,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,374,"1",Bus - Überland/Berg,8,"1-2 Haltestellen"
263,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,373,"3",Bahn - Überland/Berg,6,"1-2 Haltestellen"
264,SOB, Schweizerische Südostbahn AG,Südostbahn,357,"4",Bahn - Überland/Regionalverkehr,7,"3-6 Haltestellen"
265,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,353,"1",Bus - Überland/Berg,1,"3-6 Haltestellen"
266,BWS, Busbetriebe Bamert GmbH,Bus Bamert,351,"1",Bus - Überland/Berg,1,"7-13 Haltestellen"
267,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,339,"2",Bus - Agglomeration,1,"1-2 Haltestellen"
268,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,315,"1",Bus - Überland/Berg,2,"3-6 Haltestellen"
269,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,315,"2",Bus - Agglomeration,2,"22-39 Haltestellen"
270,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,311,"1",Bus - Überland/Berg,6,"1-2 Haltestellen"
271,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,301,"3",Bahn - Überland/Berg,2,"3-6 Haltestellen"
272,BLAG, Busland AG,Busland,288,"1",Bus - Überland/Berg,8,"1-2 Haltestellen"
273,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,283,"1",Bus - Überland/Berg,4,"7-13 Haltestellen"
274,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,273,"1",Bus - Überland/Berg,1,"22-39 Haltestellen"
275,AWA, Ortsgemeinde Amden,Bus Amden,266,"1",Bus - Überland/Berg,1,"14-21 Haltestellen"
276,ABl, Autolinee Bleniesi SA,Bus Bleniesi,258,"1",Bus - Überland/Berg,1,"22-39 Haltestellen"
277,TPC, Transports Publics du Chablais SA,Bus Chablais ,250,"1",Bus - Überland/Berg,2,"3-6 Haltestellen"
278,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,246,"4",Bahn - Überland/Regionalverkehr,8,"14-21 Haltestellen"
279,BRER, O. Schneider AG,Bus Schneider,230,"1",Bus - Überland/Berg,3,"7-13 Haltestellen"
280,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,229,"3",Bahn - Überland/Berg,2,"7-13 Haltestellen"
281,TPC, Transports Publics du Chablais SA,Bus Chablais ,228,"1",Bus - Überland/Berg,2,"1-2 Haltestellen"
282,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,227,"1",Bus - Überland/Berg,2,"3-6 Haltestellen"
283,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,224,"4",Bus - Überland/Berg,2,"7-13 Haltestellen"
284,BCS, Commune de Sion,Bus Sion,223,"1",Bus - Überland/Berg,4,"3-6 Haltestellen"
285,THURBO, Thurbo AG,Thurbo,215,"4",Bahn - Überland/Regionalverkehr,11,"1-2 Haltestellen"
286,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,212,"1",Bus - Überland/Berg,2,"14-21 Haltestellen"
287,GWB, Grindelwald Bus AG,Grindelwald Bus,205,"1",Bus - Überland/Berg,3,"1-2 Haltestellen"
288,AAGR, Auto AG Rothenburg,Bus Rothenburg,204,"2",Bus - Agglomeration,4,"3-6 Haltestellen"
289,asm, Aare Seeland mobil AG,Bus Aare Seeland,203,"1",Bus - Überland/Berg,7,"1-2 Haltestellen"
290,PAG, PostAuto Schweiz AG,PostAuto,200,"1",Bus - Überland/Berg,7,"0 Haltestellen"
291,AVA, Aargau Verkehr AG,Bus Aargau,196,"1",Bus - Überland/Berg,7,"1-2 Haltestellen"
292,SOB, Schweizerische Südostbahn AG,Südostbahn,196,"4",Bahn - Überland/Regionalverkehr,1,"22-39 Haltestellen"
293,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,194,"1",Bus - Überland/Berg,1,"14-21 Haltestellen"
294,TPC, Transports Publics du Chablais SA,Bus Chablais ,193,"1",Bus - Überland/Berg,1,"40+ Haltestellen"
295,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,190,"1",Bus - Überland/Berg,1,"22-39 Haltestellen"
296,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,188,"1",Bus - Überland/Berg,3,"1-2 Haltestellen"
297,AAGR, Auto AG Rothenburg,Bus Rothenburg,187,"2",Bus - Agglomeration,4,"1-2 Haltestellen"
298,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,187,"2",Bus - Agglomeration,2,"40+ Haltestellen"
299,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,182,"3",Bahn - Überland/Berg,1,"22-39 Haltestellen"
300,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,172,"1",Bus - Überland/Berg,2,"22-39 Haltestellen"
301,WAB, Wengernalpbahn AG,Wengernalpbahn,172,"3",Bahn - Überland/Berg,1,"1-2 Haltestellen"
302,AAGU, AUTO AG URI,Bus Uri,170,"1",Bus - Überland/Berg,9,"3-6 Haltestellen"
303,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,165,"1",Bus - Überland/Berg,3,"7-13 Haltestellen"
304,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,157,"1",Bus - Überland/Berg,1,"7-13 Haltestellen"
305,TPF, Transports publics fribourgeois SA,Bus Fribourg,152,"1",Bus - Überland/Berg,3,"40+ Haltestellen"
306,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,147,"1",Bus - Überland/Berg,1,"22-39 Haltestellen"
307,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,144,"4",Bahn - Überland/Regionalverkehr,23,"1-2 Haltestellen"
308,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,143,"1",Bus - Überland/Berg,1,"7-13 Haltestellen"
309,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,137,"1",Bus - Überland/Berg,2,"3-6 Haltestellen"
310,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,131,"2",Bus - Agglomeration,2,"3-6 Haltestellen"
311,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,130,"1",Bus - Überland/Berg,1,"40+ Haltestellen"
312,BCS, Commune de Sion,Bus Sion,127,"1",Bus - Überland/Berg,4,"7-13 Haltestellen"
313,VBSH, Stadt Schaffhausen,Bus Schaffhausen,126,"1",Bus - Überland/Berg,3,"1-2 Haltestellen"
314,BCS, Commune de Sion,Bus Sion,113,"1",Bus - Überland/Berg,2,"22-39 Haltestellen"
315,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,103,"4",Bahn - Überland/Regionalverkehr,11,"3-6 Haltestellen"
316,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,102,"1",Bus - Überland/Berg,2,"3-6 Haltestellen"
317,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,101,"2",Bus - Agglomeration,8,"0 Haltestellen"
318,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,97,"2",Bus - Agglomeration,5,"3-6 Haltestellen"
319,BCS, Commune de Sion,Bus Sion,95,"1",Bus - Überland/Berg,4,"1-2 Haltestellen"
320,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,85,"1",Bus - Überland/Berg,3,"3-6 Haltestellen"
321,ARAG, Rottal Auto AG,Bus Rottal,79,"1",Bus - Überland/Berg,8,"1-2 Haltestellen"
322,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,73,"1",Bus - Überland/Berg,4,"14-21 Haltestellen"
323,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,71,"2",Bus - Agglomeration,2,"1-2 Haltestellen"
324,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,70,"3",Bahn - Überland/Berg,2,"14-21 Haltestellen"
325,BLAG, Busland AG,Busland,68,"1",Bus - Überland/Berg,3,"40+ Haltestellen"
326,ABl, Autolinee Bleniesi SA,Bus Bleniesi,64,"1",Bus - Überland/Berg,2,"3-6 Haltestellen"
327,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,63,"2",Bus - Agglomeration,2,"0 Haltestellen"
328,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,59,"4",Bahn - Überland/Regionalverkehr,6,"22-39 Haltestellen"
329,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,57,"1",Bus - Überland/Berg,6,"0 Haltestellen"
330,AS, Autobetrieb Sernftal AG,Bus Sernftal,56,"1",Bus - Überland/Berg,1,"1-2 Haltestellen"
331,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,56,"1",Bus - Überland/Berg,2,"1-2 Haltestellen"
332,BCS, Commune de Sion,Bus Sion,53,"1",Bus - Überland/Berg,1,"14-21 Haltestellen"
333,BRER, O. Schneider AG,Bus Schneider,53,"1",Bus - Überland/Berg,1,"14-21 Haltestellen"
334,AAGU, AUTO AG URI,Bus Uri,50,"1",Bus - Überland/Berg,8,"1-2 Haltestellen"
335,THURBO, Thurbo AG,Thurbo,48,"4",Bahn - Überland/Regionalverkehr,2,"40+ Haltestellen"
336,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,47,"1",Bus - Überland/Berg,4,"1-2 Haltestellen"
337,THURBO, Thurbo AG,Thurbo,38,"4",Bahn - Überland/Regionalverkehr,5,"22-39 Haltestellen"
338,AAGS, Auto AG Schwyz,Bus Schwyz,36,"1",Bus - Überland/Berg,2,"0 Haltestellen"
339,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,34,"1",Bus - Überland/Berg,2,"40+ Haltestellen"
340,asm, Aare Seeland mobil AG,Bus Aare Seeland,30,"1",Bus - Überland/Berg,1,"0 Haltestellen"
341,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,29,"1",Bus - Überland/Berg,2,"1-2 Haltestellen"
342,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,25,"2",Bus - Agglomeration,1,"7-13 Haltestellen"
343,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,25,"3",Bahn - Überland/Berg,1,"14-21 Haltestellen"
344,BLT, BLT Baselland Transport AG,Bus Baselland,24,"1",Bus - Überland/Berg,2,"40+ Haltestellen"
345,BRER, O. Schneider AG,Bus Schneider,23,"1",Bus - Überland/Berg,1,"3-6 Haltestellen"
346,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,23,"3",Bahn - Überland/Berg,1,"7-13 Haltestellen"
347,ABl, Autolinee Bleniesi SA,Bus Bleniesi,22,"1",Bus - Überland/Berg,2,"1-2 Haltestellen"
348,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,19,"2",Bus - Agglomeration,2,"7-13 Haltestellen"
349,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,16,"3",Bahn - Überland/Berg,2,"1-2 Haltestellen"
350,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,13,"4",Bahn - Überland/Regionalverkehr,1,"22-39 Haltestellen"
351,BLAG, Busland AG,Busland,12,"1",Bus - Überland/Berg,1,"0 Haltestellen"
352,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,12,"2",Bus - Agglomeration,1,"40+ Haltestellen"
353,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,11,"4",Bahn - Überland/Regionalverkehr,6,"1-2 Haltestellen"
354,BWS, Busbetriebe Bamert GmbH,Bus Bamert,10,"1",Bus - Überland/Berg,1,"14-21 Haltestellen"
355,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,10,"1",Bus - Überland/Berg,4,"7-13 Haltestellen"
356,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,10,"2",Bus - Agglomeration,2,"22-39 Haltestellen"
357,SOB, Schweizerische Südostbahn AG,Südostbahn,10,"4",Bahn - Überland/Regionalverkehr,6,"1-2 Haltestellen"
358,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,9,"3",Bahn - Überland/Berg,3,"1-2 Haltestellen"
359,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,8,"4",Bus - Überland/Berg,1,"14-21 Haltestellen"
360,VMCV, VMCV SA,Bus Montreux,8,"1",Bus - Überland/Berg,2,"1-2 Haltestellen"
361,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,7,"3",Bahn - Überland/Berg,2,"22-39 Haltestellen"
362,AWA, Ortsgemeinde Amden,Bus Amden,7,"1",Bus - Überland/Berg,1,"7-13 Haltestellen"
363,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,7,"1",Bus - Überland/Berg,3,"1-2 Haltestellen"
364,TSD, Theytaz Excursions SA,Theytaz,7,"1",Bus - Überland/Berg,1,"3-6 Haltestellen"
365,zb, zb Zentralbahn AG,Zentralbahn,7,"3",Bahn - Überland/Berg,1,"14-21 Haltestellen"
366,BLT, BLT Baselland Transport AG,Bus Baselland,6,"1",Bus - Überland/Berg,2,"0 Haltestellen"
367,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,6,"1",Bus - Überland/Berg,1,"1-2 Haltestellen"
368,AWA, Ortsgemeinde Amden,Bus Amden,5,"1",Bus - Überland/Berg,1,"3-6 Haltestellen"
369,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,5,"1",Bus - Überland/Berg,1,"22-39 Haltestellen"
370,VMCV, VMCV SA,Bus Montreux,5,"1",Bus - Überland/Berg,3,"3-6 Haltestellen"
371,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,4,"4",Bahn - Überland/Regionalverkehr,3,"0 Haltestellen"
372,TSD, Theytaz Excursions SA,Theytaz,4,"1",Bus - Überland/Berg,1,"1-2 Haltestellen"
373,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,3,"1",Bus - Überland/Berg,1,"1-2 Haltestellen"
374,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,2,"1",Bus - Überland/Berg,1,"3-6 Haltestellen"
375,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,2,"2",Bus - Agglomeration,1,"0 Haltestellen"
376,TSD, Theytaz Excursions SA,Theytaz,2,"1",Bus - Überland/Berg,1,"7-13 Haltestellen"
377,zb, zb Zentralbahn AG,Zentralbahn,2,"3",Bahn - Überland/Berg,2,"1-2 Haltestellen"
378,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,1,"2",Bus - Agglomeration,1,"3-6 Haltestellen"
