"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_halte"
49,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,7170,"1",Bus - Überland/Berg,9,"7-13 Haltestellen"
50,TPG, Transports publics genevois (TPG),Bus Genf,6903,"2",Bus - Agglomeration,16,"3-6 Haltestellen"
51,VBZ, Stadt Zürich,Bus Zürich,6746,"1",Bus - Überland/Berg,18,"7-13 Haltestellen"
52,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,6686,"3",Bahn - Überland/Berg,1,"14-21 Haltestellen"
53,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,6546,"4",Bahn - Überland/Regionalverkehr,27,"7-13 Haltestellen"
54,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,6517,"1",Bus - Überland/Berg,1,"14-21 Haltestellen"
55,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,6405,"2",Bus - Agglomeration,13,"22-39 Haltestellen"
56,BOS, BUS Ostschweiz AG,BUS Ostschweiz,6289,"1",Bus - Überland/Berg,14,"3-6 Haltestellen"
57,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,6197,"1",Bus - Überland/Berg,7,"14-21 Haltestellen"
58,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,6187,"1",Bus - Überland/Berg,4,"22-39 Haltestellen"
59,AAGR, Auto AG Rothenburg,Bus Rothenburg,6041,"2",Bus - Agglomeration,3,"14-21 Haltestellen"
60,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,6021,"1",Bus - Überland/Berg,5,"22-39 Haltestellen"
61,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,5949,"1",Bus - Überland/Berg,3,"7-13 Haltestellen"
62,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,5793,"1",Bus - Überland/Berg,13,"14-21 Haltestellen"
63,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,5555,"1",Bus - Überland/Berg,3,"14-21 Haltestellen"
64,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,5446,"1",Bus - Überland/Berg,6,"14-21 Haltestellen"
65,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,5357,"2",Bus - Agglomeration,33,"3-6 Haltestellen"
66,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,5346,"1",Bus - Überland/Berg,18,"7-13 Haltestellen"
67,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,5316,"3",Bahn - Überland/Berg,1,"14-21 Haltestellen"
68,TPG, Transports publics genevois (TPG),Bus Genf,5309,"2",Bus - Agglomeration,15,"1-2 Haltestellen"
69,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,5125,"1",Bus - Überland/Berg,20,"7-13 Haltestellen"
70,BOS, BUS Ostschweiz AG,BUS Ostschweiz,5033,"1",Bus - Überland/Berg,2,"1-2 Haltestellen"
71,VBSG, Stadt St. Gallen,Bus St.Gallen,4995,"2",Bus - Agglomeration,12,"14-21 Haltestellen"
72,TPF, Transports publics fribourgeois SA,Bus Fribourg,4980,"1",Bus - Überland/Berg,34,"14-21 Haltestellen"
