"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_minuten"
317,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,32,"3",Bahn - Überland/Berg,1,"15-30 Minuten"
318,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,31,"1",Bus - Überland/Berg,3,Unter 5 Minuten
319,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,30,"2",Bus - Agglomeration,2,"5-15 Minuten"
320,BLT, BLT Baselland Transport AG,Bus Baselland,27,"1",Bus - Überland/Berg,2,"60+ Minuten"
321,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,26,"3",Bahn - Überland/Berg,2,"5-15 Minuten"
322,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,25,"1",Bus - Überland/Berg,4,unbekannt
323,VBSG, Stadt St. Gallen,Bus St.Gallen,25,"2",Bus - Agglomeration,11,unbekannt
324,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,25,"2",Bus - Agglomeration,7,unbekannt
325,BLAG, Busland AG,Busland,24,"1",Bus - Überland/Berg,8,unbekannt
326,SBW, Stadt Winterthur,Bus Winterthur,24,"1",Bus - Überland/Berg,1,unbekannt
327,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,23,"3",Bahn - Überland/Berg,1,"60+ Minuten"
328,RA, REGIONALPS SA ,Regionalps,22,"4",Bahn - Überland/Regionalverkehr,3,unbekannt
329,TPF, Transports publics fribourgeois SA,Bus Fribourg,21,"1",Bus - Überland/Berg,1,unbekannt
330,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,20,"1",Bus - Überland/Berg,2,Unter 5 Minuten
331,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,19,"4",Bahn - Überland/Regionalverkehr,5,"5-15 Minuten"
332,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,17,"1",Bus - Überland/Berg,6,unbekannt
333,AAGS, Auto AG Schwyz,Bus Schwyz,17,"1",Bus - Überland/Berg,9,unbekannt
334,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,17,"1",Bus - Überland/Berg,1,unbekannt
335,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,16,"2",Bus - Agglomeration,3,unbekannt
336,BCS, Commune de Sion,Bus Sion,14,"1",Bus - Überland/Berg,2,"15-30 Minuten"
337,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,13,"4",Bahn - Überland/Regionalverkehr,8,unbekannt
338,BLT, BLT Baselland Transport AG,Bus Baselland,13,"1",Bus - Überland/Berg,6,unbekannt
339,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,13,"4",Bus - Überland/Berg,1,unbekannt
340,TPG, Transports publics genevois (TPG),Bus Genf,13,"2",Bus - Agglomeration,4,"60+ Minuten"
341,AWA, Ortsgemeinde Amden,Bus Amden,12,"1",Bus - Überland/Berg,1,"5-15 Minuten"
342,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,12,"1",Bus - Überland/Berg,1,Unter 5 Minuten
343,THURBO, Thurbo AG,Thurbo,12,"4",Bahn - Überland/Regionalverkehr,5,unbekannt
344,BuS, Bus und Service AG,BuS AG,11,"1",Bus - Überland/Berg,3,unbekannt
345,AWA, Ortsgemeinde Amden,Bus Amden,10,"1",Bus - Überland/Berg,1,unbekannt
346,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,10,"4",Bahn - Überland/Regionalverkehr,4,Unter 5 Minuten
347,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,10,"2",Bus - Agglomeration,1,"60+ Minuten"
348,BWS, Busbetriebe Bamert GmbH,Bus Bamert,10,"1",Bus - Überland/Berg,1,"15-30 Minuten"
349,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,10,"2",Bus - Agglomeration,2,"30-60 Minuten"
350,VMCV, VMCV SA,Bus Montreux,10,"1",Bus - Überland/Berg,2,Unter 5 Minuten
351,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,8,"2",Bus - Agglomeration,3,unbekannt
352,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,8,"2",Bus - Agglomeration,1,"60+ Minuten"
353,BRER, O. Schneider AG,Bus Schneider,8,"1",Bus - Überland/Berg,1,Unter 5 Minuten
354,BRER, O. Schneider AG,Bus Schneider,8,"1",Bus - Überland/Berg,2,unbekannt
355,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,8,"2",Bus - Agglomeration,6,unbekannt
356,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,8,"1",Bus - Überland/Berg,4,unbekannt
357,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,8,"1",Bus - Überland/Berg,5,unbekannt
358,asm, Aare Seeland mobil AG,Bus Aare Seeland,8,"1",Bus - Überland/Berg,5,unbekannt
359,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,5,"3",Bahn - Überland/Berg,3,"60+ Minuten"
360,AVA, Aargau Verkehr AG,Bus Aargau,5,"1",Bus - Überland/Berg,3,unbekannt
361,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,5,"1",Bus - Überland/Berg,1,"30-60 Minuten"
362,BLAG, Busland AG,Busland,4,"1",Bus - Überland/Berg,1,"60+ Minuten"
363,BWS, Busbetriebe Bamert GmbH,Bus Bamert,4,"1",Bus - Überland/Berg,1,unbekannt
364,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,4,"1",Bus - Überland/Berg,2,unbekannt
365,SOB, Schweizerische Südostbahn AG,Südostbahn,4,"4",Bahn - Überland/Regionalverkehr,1,Unter 5 Minuten
366,TSD, Theytaz Excursions SA,Theytaz,4,"1",Bus - Überland/Berg,1,"5-15 Minuten"
367,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,4,"2",Bus - Agglomeration,1,unbekannt
368,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,3,"1",Bus - Überland/Berg,2,unbekannt
369,ARAG, Rottal Auto AG,Bus Rottal,3,"1",Bus - Überland/Berg,2,unbekannt
370,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,3,"1",Bus - Überland/Berg,1,unbekannt
371,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,3,"3",Bahn - Überland/Berg,2,unbekannt
372,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,3,"4",Bahn - Überland/Regionalverkehr,1,unbekannt
373,AS, Autobetrieb Sernftal AG,Bus Sernftal,2,"1",Bus - Überland/Berg,1,unbekannt
374,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,2,"2",Bus - Agglomeration,1,unbekannt
375,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,2,"1",Bus - Überland/Berg,1,unbekannt
376,AAGU, AUTO AG URI,Bus Uri,1,"1",Bus - Überland/Berg,1,unbekannt
377,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,1,"1",Bus - Überland/Berg,1,Unter 5 Minuten
378,GWB, Grindelwald Bus AG,Grindelwald Bus,1,"1",Bus - Überland/Berg,1,"30-60 Minuten"
379,GWB, Grindelwald Bus AG,Grindelwald Bus,1,"1",Bus - Überland/Berg,1,unbekannt
380,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,1,"3",Bahn - Überland/Berg,1,unbekannt
381,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,1,"2",Bus - Agglomeration,1,Unter 5 Minuten
382,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,1,"1",Bus - Überland/Berg,1,unbekannt
383,SOB, Schweizerische Südostbahn AG,Südostbahn,1,"4",Bahn - Überland/Regionalverkehr,1,unbekannt
384,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,1,"2",Bus - Agglomeration,1,"60+ Minuten"
385,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,1,"1",Bus - Überland/Berg,1,"60+ Minuten"
386,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,1,"1",Bus - Überland/Berg,1,unbekannt
