"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_minuten"
151,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,1759,"1",Bus - Überland/Berg,6,"30-60 Minuten"
152,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,1743,"1",Bus - Überland/Berg,4,"30-60 Minuten"
153,GWB, Grindelwald Bus AG,Grindelwald Bus,1648,"1",Bus - Überland/Berg,3,"15-30 Minuten"
154,AVA, Aargau Verkehr AG,Bus Aargau,1594,"1",Bus - Überland/Berg,11,"5-15 Minuten"
155,AAGU, AUTO AG URI,Bus Uri,1566,"1",Bus - Überland/Berg,6,"15-30 Minuten"
156,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,1565,"2",Bus - Agglomeration,7,"15-30 Minuten"
157,VBSG, Stadt St. Gallen,Bus St.Gallen,1564,"2",Bus - Agglomeration,13,"5-15 Minuten"
158,AVA, Aargau Verkehr AG,Bus Aargau,1441,"1",Bus - Überland/Berg,8,"30-60 Minuten"
159,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,1399,"1",Bus - Überland/Berg,7,"15-30 Minuten"
160,VBD, Landschaft Davos,Bus Davos,1376,"1",Bus - Überland/Berg,1,Unter 5 Minuten
161,SBW, Stadt Winterthur,Bus Winterthur,1352,"1",Bus - Überland/Berg,4,"5-15 Minuten"
162,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,1331,"1",Bus - Überland/Berg,3,Unter 5 Minuten
163,VB, Verkehrsbetriebe Biel,Bus Biel,1270,"1",Bus - Überland/Berg,2,"30-60 Minuten"
164,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,1259,"1",Bus - Überland/Berg,3,"30-60 Minuten"
165,VB, Verkehrsbetriebe Biel,Bus Biel,1246,"1",Bus - Überland/Berg,6,Unter 5 Minuten
166,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1203,"2",Bus - Agglomeration,2,"15-30 Minuten"
167,AS, Autobetrieb Sernftal AG,Bus Sernftal,1192,"1",Bus - Überland/Berg,1,"15-30 Minuten"
168,BLT, BLT Baselland Transport AG,Bus Baselland,1177,"1",Bus - Überland/Berg,17,Unter 5 Minuten
169,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,1150,"1",Bus - Überland/Berg,13,"30-60 Minuten"
170,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,1129,"2",Bus - Agglomeration,2,"15-30 Minuten"
171,TPF, Transports publics fribourgeois SA,Bus Fribourg,1124,"1",Bus - Überland/Berg,11,"60+ Minuten"
172,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1124,"2",Bus - Agglomeration,2,Unter 5 Minuten
173,RA, REGIONALPS SA ,Regionalps,1099,"4",Bahn - Überland/Regionalverkehr,3,"30-60 Minuten"
174,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,1064,"1",Bus - Überland/Berg,1,"5-15 Minuten"
175,zb, zb Zentralbahn AG,Zentralbahn,1062,"3",Bahn - Überland/Berg,2,"5-15 Minuten"
176,AAGS, Auto AG Schwyz,Bus Schwyz,1061,"1",Bus - Überland/Berg,3,"60+ Minuten"
177,THURBO, Thurbo AG,Thurbo,1054,"4",Bahn - Überland/Regionalverkehr,20,"15-30 Minuten"
178,AAGU, AUTO AG URI,Bus Uri,1040,"1",Bus - Überland/Berg,9,"5-15 Minuten"
179,TSD, Theytaz Excursions SA,Theytaz,1026,"1",Bus - Überland/Berg,2,"30-60 Minuten"
180,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,1015,"2",Bus - Agglomeration,3,"15-30 Minuten"
181,ARAG, Rottal Auto AG,Bus Rottal,980,"1",Bus - Überland/Berg,3,"30-60 Minuten"
182,TSD, Theytaz Excursions SA,Theytaz,977,"1",Bus - Überland/Berg,2,"60+ Minuten"
183,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,920,"2",Bus - Agglomeration,3,Unter 5 Minuten
184,BuS, Bus und Service AG,BuS AG,912,"1",Bus - Überland/Berg,4,Unter 5 Minuten
185,AAGU, AUTO AG URI,Bus Uri,901,"1",Bus - Überland/Berg,6,"30-60 Minuten"
186,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,896,"3",Bahn - Überland/Berg,5,Unter 5 Minuten
187,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,890,"1",Bus - Überland/Berg,5,"30-60 Minuten"
188,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,883,"2",Bus - Agglomeration,7,"30-60 Minuten"
189,asm, Aare Seeland mobil AG,Bus Aare Seeland,859,"1",Bus - Überland/Berg,4,"30-60 Minuten"
190,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,835,"1",Bus - Überland/Berg,5,"15-30 Minuten"
191,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,832,"4",Bahn - Überland/Regionalverkehr,12,"60+ Minuten"
192,SOB, Schweizerische Südostbahn AG,Südostbahn,820,"4",Bahn - Überland/Regionalverkehr,3,"60+ Minuten"
193,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,802,"2",Bus - Agglomeration,2,"30-60 Minuten"
194,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,782,"2",Bus - Agglomeration,7,unbekannt
195,THURBO, Thurbo AG,Thurbo,776,"4",Bahn - Überland/Regionalverkehr,8,"60+ Minuten"
196,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,752,"1",Bus - Überland/Berg,7,"15-30 Minuten"
197,THURBO, Thurbo AG,Thurbo,743,"4",Bahn - Überland/Regionalverkehr,17,"5-15 Minuten"
198,AAGS, Auto AG Schwyz,Bus Schwyz,742,"1",Bus - Überland/Berg,7,Unter 5 Minuten
199,TPF, Transports publics fribourgeois SA,Bus Fribourg,734,"1",Bus - Überland/Berg,21,Unter 5 Minuten
200,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,714,"1",Bus - Überland/Berg,8,Unter 5 Minuten
201,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,688,"1",Bus - Überland/Berg,3,"5-15 Minuten"
202,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,688,"1",Bus - Überland/Berg,5,"30-60 Minuten"
203,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,666,"1",Bus - Überland/Berg,3,"30-60 Minuten"
204,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,656,"1",Bus - Überland/Berg,3,"30-60 Minuten"
205,BLAG, Busland AG,Busland,648,"1",Bus - Überland/Berg,7,Unter 5 Minuten
206,SBW, Stadt Winterthur,Bus Winterthur,624,"1",Bus - Überland/Berg,4,"15-30 Minuten"
207,SOB, Schweizerische Südostbahn AG,Südostbahn,614,"4",Bahn - Überland/Regionalverkehr,5,"30-60 Minuten"
208,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,597,"1",Bus - Überland/Berg,6,"15-30 Minuten"
