"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien"
53,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,4449,"1",Bus - Überland/Berg,1
54,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,4396,"1",Bus - Überland/Berg,1
55,AAGU, AUTO AG URI,Bus Uri,4150,"1",Bus - Überland/Berg,9
56,SBW, Stadt Winterthur,Bus Winterthur,3925,"1",Bus - Überland/Berg,4
57,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,3284,"1",Bus - Überland/Berg,5
58,AS, Autobetrieb Sernftal AG,Bus Sernftal,3156,"1",Bus - Überland/Berg,3
59,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,2971,"3",Bahn - Überland/Berg,2
60,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,2934,"1",Bus - Überland/Berg,8
61,GWB, Grindelwald Bus AG,Grindelwald Bus,2595,"1",Bus - Überland/Berg,3
62,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,2152,"1",Bus - Überland/Berg,7
63,TSD, Theytaz Excursions SA,Theytaz,2103,"1",Bus - Überland/Berg,2
64,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,2037,"1",Bus - Überland/Berg,6
65,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,1822,"1",Bus - Überland/Berg,8
66,SOB, Schweizerische Südostbahn AG,Südostbahn,1756,"4",Bahn - Überland/Regionalverkehr,7
67,zb, zb Zentralbahn AG,Zentralbahn,1460,"3",Bahn - Überland/Berg,8
68,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,1434,"2",Bus - Agglomeration,3
69,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,1170,"2",Bus - Agglomeration,2
70,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,954,"4",Bus - Überland/Berg,2
71,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,952,"3",Bahn - Überland/Berg,2
72,WAB, Wengernalpbahn AG,Wengernalpbahn,906,"3",Bahn - Überland/Berg,1
73,BRER, O. Schneider AG,Bus Schneider,827,"1",Bus - Überland/Berg,3
74,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,785,"4",Bahn - Überland/Regionalverkehr,12
75,ABl, Autolinee Bleniesi SA,Bus Bleniesi,756,"1",Bus - Überland/Berg,5
76,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,678,"1",Bus - Überland/Berg,6
77,BCS, Commune de Sion,Bus Sion,611,"1",Bus - Überland/Berg,4
78,BWS, Busbetriebe Bamert GmbH,Bus Bamert,361,"1",Bus - Überland/Berg,1
79,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,342,"1",Bus - Überland/Berg,1
80,AWA, Ortsgemeinde Amden,Bus Amden,278,"1",Bus - Überland/Berg,1
